What3Words,Latitude,Longitude,Variety,Mismatches,Matches,Identified,Size,Pomiferous
skirt.crib.corrupted,50.772437,-3.742686,No Match,NA,1,No,1,
slid.plausible.keyboards,50.766265,-3.765076,No Match,NA,1,No,1,
slugs.orchestra.precluded,50.772868,-3.742473,No Match,NA,1,No,1,
slurping.grove.lemons,50.767289,-3.767891,No Match,NA,1,No,1,
smooth.state.liberated,50.765591,-3.765076,Crimson Newton,1,18,Yes (with mismatch),4,
smuggled.distilled.flitting,50.766238,-3.764948,No Match,NA,1,No,1,
snacking.stealing.sinkhole,50.77303,-3.743411,Chisel Jersey,0,20,Yes,8,https://pomiferous.com/applebyname/chisel-jersey-id-7006
snuggle.romance.gentlemen,50.77303,-3.743027,No Match,NA,1,No,1,
songs.agree.goofy,50.73484,-3.671332,No Match,NA,1,No,1,
sparkle.pavement.objecting,50.73422,-3.671928,Northwood,1,17,Yes (with mismatch),2,
spenders.cheek.writers,50.77303,-3.743582,No Match,NA,1,No,1,
spirits.spruced.shredder,50.734732,-3.671928,No Match,NA,1,No,1,
spoils.coping.logic,50.734732,-3.672354,Bramley,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/bramleys-seedling-id-936
sports.described.soonest,50.772895,-3.743496,Chisel Jersey,0,20,Yes,8,https://pomiferous.com/applebyname/chisel-jersey-id-7006
squish.happier.consoles,50.773138,-3.743155,Bulmers Norman,1,19,Yes (with mismatch),6,https://pomiferous.com/applebyname/bulmers-norman-id-6958
starch.tidal.horseshoe,50.77303,-3.742601,No Match,NA,1,No,1,
steady.rezoning.whom,50.73449,-3.672312,No Match,NA,1,No,1,
steamed.cleans.scatters,50.735029,-3.671161,No Match,NA,1,No,1,
stewing.informer.notes,50.765996,-3.764863,No Match,NA,1,No,1,
stone.strays.rebounded,50.76551,-3.765204,Sweet Alford,0,18,Yes,4,https://pomiferous.com/applebyname/sweet-alford-id-7653
storyline.furniture.tweaked,50.734301,-3.671928,No Match,NA,1,No,1,
stretcher.passwords.whips,50.766723,-3.768232,No Match,NA,1,No,1,
stunner.health.drive,50.773111,-3.743155,Yarlington Mill,1,19,Yes (with mismatch),6,https://pomiferous.com/applebyname/yarlington-mill-id-6792
stunts.things.soggy,50.765618,-3.765033,Tremletts Bitter,1,19,Yes (with mismatch),6,https://pomiferous.com/applebyname/tremletts-bitter-id-7690
stupidly.fatherly.sneezing,50.767074,-3.768445,No Match,NA,1,No,1,
subsets.mend.dockers,50.772922,-3.743709,No Match,NA,1,No,1,
subsystem.bristle.faces,50.734058,-3.672056,No Match,NA,1,No,1,
suiting.message.relishing,50.765996,-3.765289,Jupiter,1,18,Yes (with mismatch),4,
summit.supreme.raven,50.733843,-3.672184,No Match,NA,1,No,1,
superhero.shin.bookings,50.733924,-3.672141,No Match,NA,1,No,1,
synthetic.admit.signs,50.765376,-3.764521,No Match,NA,1,No,1,
textiles.reconnect.cones,50.7336,-3.672397,Annie Elizabeth,1,18,Yes (with mismatch),4,
thumbnail.damage.investor,50.767074,-3.767294,Sweet Alford,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/sweet-alford-id-7653
thundered.plants.save,50.767101,-3.768274,No Match,NA,1,No,1,
tiredness.pushover.trespass,50.772679,-3.742089,Improved Woodbine,1,17,Yes (with mismatch),2,
topping.courts.composed,50.767181,-3.76772,Bulmers Norman / White Muscadet,0,21,Yes,10,https://pomiferous.com/applebyname/bulmers-norman-id-6958
torched.driveways.estimated,50.733843,-3.672354,No Match,NA,1,No,1,
tour.treatable.mallets,50.766049,-3.765204,No Match,NA,1,No,1,
towel.cave.negotiators,50.734948,-3.67146,No Match,NA,1,No,1,
trace.include.explained,50.766103,-3.764991,Sweet Alford,NA,1,Yes (with mismatch),1,
travel.dreading.builds,50.766885,-3.768147,No Match,NA,1,No,1,
tribe.riverboat.bonkers,50.734921,-3.671247,No Match,NA,1,No,1,
tribes.mend.validated,50.734139,-3.671843,Bulmers Norman,0,18,Yes,4,https://pomiferous.com/applebyname/bulmers-norman-id-6958
troubles.enlighten.quirky,50.767101,-3.767635,No Match,NA,1,No,1,
truckload.baking.portfolio,50.773138,-3.743027,No Match,NA,1,No,1,
udder.fired.vegetable,50.734463,-3.672013,No Match,NA,1,No,1,
unlimited.metro.surnames,50.735056,-3.671502,Yarlington Mill,1,16,Yes (with mismatch),2,https://pomiferous.com/applebyname/yarlington-mill-id-6792
unlimited.photocopy.minus,50.735325,-3.671076,Bramley,1,17,Yes (with mismatch),2,https://pomiferous.com/applebyname/bramleys-seedling-id-936
unspoiled.rather.revolts,50.735136,-3.671417,No Match,NA,1,No,1,
uptake.cleanest.rushed,50.765052,-3.764308,Sweet Coppin,1,18,Yes (with mismatch),4,
using.workbench.publisher,50.772922,-3.743496,Yarlington Mill,0,19,Yes,6,https://pomiferous.com/applebyname/yarlington-mill-id-6792
vacancies.weary.cheek,50.766292,-3.764863,No Match,NA,1,No,1,
valid.stretcher.slings,50.772814,-3.74307,Worcester Pearmain,1,17,Yes (with mismatch),2,https://pomiferous.com/applebyname/worcester-pearmain-id-6776
vampire.bookshop.apart,50.773003,-3.74307,Yarlington Mill,0,20,Yes,8,https://pomiferous.com/applebyname/yarlington-mill-id-6792
velocity.respect.scrolled,50.765726,-3.764777,No Match,NA,1,No,1,
vest.wedding.skyrocket,50.734651,-3.672269,No Match,NA,1,No,1,
violinist.down.edgy,50.734894,-3.672099,No Match,NA,1,No,1,
visa.canal.examine,50.772949,-3.742686,No Match,NA,1,No,1,
visits.growth.cake,50.7336,-3.672141,Sweet Alford,0,19,Yes,6,https://pomiferous.com/applebyname/sweet-alford-id-7653
wagers.latitudes.horses,50.772599,-3.743283,Worcester Pearmain,0,20,Yes,8,https://pomiferous.com/applebyname/worcester-pearmain-id-6776
warm.distilled.musician,50.772464,-3.742558,Bulmers Norman,1,20,Yes (with mismatch),8,https://pomiferous.com/applebyname/bulmers-norman-id-6958
watchdogs.search.pits,50.734678,-3.672226,No Match,NA,1,No,1,
weaved.recruited.motivator,50.77276,-3.743709,No Match,NA,1,No,1,
whirlpool.mammoth.highly,50.765484,-3.765161,No Match,NA,1,No,1,
winters.hounded.frown,50.73422,-3.672269,No Match,NA,1,No,1,
witless.relations.suffix,50.767235,-3.768317,No Match,NA,1,No,1,
woodstove.healthier.emblem,50.765807,-3.765374,Bulmers Norman,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/bulmers-norman-id-6958
wool.widget.frostbite,50.765268,-3.764991,No Match,NA,1,No,1,
workloads.announce.bought,50.765807,-3.76482,Tremletts Bitter,1,17,Yes (with mismatch),2,https://pomiferous.com/applebyname/tremletts-bitter-id-7690
writing.putts.verge,50.734085,-3.672184,No Match,NA,1,No,1,
yachting.outlooks.static,50.772868,-3.742857,Bulmers Norman,1,18,Yes (with mismatch),4,https://pomiferous.com/applebyname/bulmers-norman-id-6958
